1 epoch, LR 0.001000, LOSS 9.375854, ACC 3.85%, EER 5.93%, minDCF 0.3691%, bestEER 5.93%, bestminDCF 0.3691%
2 epoch, LR 0.000970, LOSS 5.607287, ACC 16.50%, EER 5.73%, minDCF 0.3225%, bestEER 5.73%, bestminDCF 0.3225%
3 epoch, LR 0.000941, LOSS 4.663322, ACC 24.70%, EER 3.95%, minDCF 0.2435%, bestEER 3.95%, bestminDCF 0.2435%
4 epoch, LR 0.000913, LOSS 4.202499, ACC 29.77%, EER 2.97%, minDCF 0.1966%, bestEER 2.97%, bestminDCF 0.1966%
5 epoch, LR 0.000885, LOSS 3.917008, ACC 33.24%, EER 5.06%, minDCF 0.2951%, bestEER 2.97%, bestminDCF 0.1966%
6 epoch, LR 0.000859, LOSS 3.722069, ACC 35.77%, EER 2.37%, minDCF 0.1498%, bestEER 2.37%, bestminDCF 0.1498%
7 epoch, LR 0.000833, LOSS 3.577924, ACC 37.80%, EER 2.46%, minDCF 0.1630%, bestEER 2.37%, bestminDCF 0.1498%
8 epoch, LR 0.000808, LOSS 3.461473, ACC 39.33%, EER 2.37%, minDCF 0.1575%, bestEER 2.37%, bestminDCF 0.1498%
9 epoch, LR 0.000784, LOSS 3.359205, ACC 40.81%, EER 2.26%, minDCF 0.1393%, bestEER 2.26%, bestminDCF 0.1393%
10 epoch, LR 0.000760, LOSS 3.280440, ACC 41.98%, EER 2.10%, minDCF 0.1409%, bestEER 2.10%, bestminDCF 0.1393%
11 epoch, LR 0.000737, LOSS 3.203239, ACC 43.07%, EER 2.13%, minDCF 0.1285%, bestEER 2.10%, bestminDCF 0.1285%
12 epoch, LR 0.000715, LOSS 3.140931, ACC 44.05%, EER 2.06%, minDCF 0.1377%, bestEER 2.06%, bestminDCF 0.1285%
13 epoch, LR 0.000694, LOSS 3.080318, ACC 44.99%, EER 1.96%, minDCF 0.1307%, bestEER 1.96%, bestminDCF 0.1285%
14 epoch, LR 0.000673, LOSS 3.030848, ACC 45.72%, EER 1.94%, minDCF 0.1273%, bestEER 1.94%, bestminDCF 0.1273%
15 epoch, LR 0.000653, LOSS 2.978927, ACC 46.53%, EER 1.88%, minDCF 0.1178%, bestEER 1.88%, bestminDCF 0.1178%
16 epoch, LR 0.000633, LOSS 2.929665, ACC 47.26%, EER 1.99%, minDCF 0.1254%, bestEER 1.88%, bestminDCF 0.1178%
17 epoch, LR 0.000614, LOSS 2.885260, ACC 47.98%, EER 1.81%, minDCF 0.1190%, bestEER 1.81%, bestminDCF 0.1178%
18 epoch, LR 0.000596, LOSS 2.849833, ACC 48.59%, EER 1.78%, minDCF 0.1070%, bestEER 1.78%, bestminDCF 0.1070%
19 epoch, LR 0.000578, LOSS 2.806053, ACC 49.21%, EER 1.55%, minDCF 0.0933%, bestEER 1.55%, bestminDCF 0.0933%
20 epoch, LR 0.000561, LOSS 2.772619, ACC 49.75%, EER 1.80%, minDCF 0.1055%, bestEER 1.55%, bestminDCF 0.0933%
21 epoch, LR 0.000544, LOSS 2.735740, ACC 50.38%, EER 1.64%, minDCF 0.1183%, bestEER 1.55%, bestminDCF 0.0933%
22 epoch, LR 0.000527, LOSS 2.704222, ACC 50.87%, EER 1.62%, minDCF 0.1042%, bestEER 1.55%, bestminDCF 0.0933%
23 epoch, LR 0.000512, LOSS 2.673727, ACC 51.35%, EER 1.69%, minDCF 0.1026%, bestEER 1.55%, bestminDCF 0.0933%
24 epoch, LR 0.000496, LOSS 2.643648, ACC 51.82%, EER 1.60%, minDCF 0.1044%, bestEER 1.55%, bestminDCF 0.0933%
25 epoch, LR 0.000481, LOSS 2.612070, ACC 52.37%, EER 1.68%, minDCF 0.1208%, bestEER 1.55%, bestminDCF 0.0933%
